;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 4/29/2017 12:06:02 PM
;----------------------------------------------

;Address Opcode 	ASM
0x0230	0x60B2    	SBR        R27, 2
0x0232	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,125 :: 		
0x0236	0xDF0E    	RCALL      _Delay_1us+0
;__Lib_Lcd.c,126 :: 		
0x0238	0x003591B0  	LDS        R27, LCD_EN+0
0x023C	0x7FBD    	CBR        R27, 2
0x023E	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,127 :: 		
0x0242	0xDF14    	RCALL      _Delay_5500us+0
;__Lib_Lcd.c,130 :: 		
0x0244	0x003591B0  	LDS        R27, LCD_EN+0
0x0248	0x60B2    	SBR        R27, 2
0x024A	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,131 :: 		
0x024E	0xDF02    	RCALL      _Delay_1us+0
;__Lib_Lcd.c,132 :: 		
0x0250	0x003591B0  	LDS        R27, LCD_EN+0
0x0254	0x7FBD    	CBR        R27, 2
0x0256	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,134 :: 		
0x025A	0x003591B0  	LDS        R27, LCD_D5+0
0x025E	0x7FB7    	CBR        R27, 8
0x0260	0x003593B0  	STS        LCD_D5+0, R27
;__Lib_Lcd.c,135 :: 		
0x0264	0x003591B0  	LDS        R27, LCD_D7+0
0x0268	0x62B0    	SBR        R27, 32
0x026A	0x003593B0  	STS        LCD_D7+0, R27
;__Lib_Lcd.c,136 :: 		
0x026E	0x003591B0  	LDS        R27, LCD_EN+0
0x0272	0x60B2    	SBR        R27, 2
0x0274	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,137 :: 		
0x0278	0xDEED    	RCALL      _Delay_1us+0
;__Lib_Lcd.c,138 :: 		
0x027A	0x003591B0  	LDS        R27, LCD_EN+0
0x027E	0x7FBD    	CBR        R27, 2
0x0280	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,139 :: 		
0x0284	0xDEF3    	RCALL      _Delay_5500us+0
;__Lib_Lcd.c,142 :: 		
0x0286	0x003591B0  	LDS        R27, LCD_D7+0
0x028A	0x7DBF    	CBR        R27, 32
0x028C	0x003593B0  	STS        LCD_D7+0, R27
;__Lib_Lcd.c,143 :: 		
0x0290	0x003591B0  	LDS        R27, LCD_D4+0
0x0294	0x60B4    	SBR        R27, 4
0x0296	0x003593B0  	STS        LCD_D4+0, R27
;__Lib_Lcd.c,144 :: 		
0x029A	0x003591B0  	LDS        R27, LCD_EN+0
0x029E	0x60B2    	SBR        R27, 2
0x02A0	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,145 :: 		
0x02A4	0xDED7    	RCALL      _Delay_1us+0
;__Lib_Lcd.c,146 :: 		
0x02A6	0x003591B0  	LDS        R27, LCD_EN+0
0x02AA	0x7FBD    	CBR        R27, 2
0x02AC	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,148 :: 		
0x02B0	0x003591B0  	LDS        R27, LCD_D4+0
0x02B4	0x7FBB    	CBR        R27, 4
0x02B6	0x003593B0  	STS        LCD_D4+0, R27
;__Lib_Lcd.c,149 :: 		
0x02BA	0x003591B0  	LDS        R27, LCD_EN+0
0x02BE	0x60B2    	SBR        R27, 2
0x02C0	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,150 :: 		
0x02C4	0xDEC7    	RCALL      _Delay_1us+0
;__Lib_Lcd.c,151 :: 		
0x02C6	0x003591B0  	LDS        R27, LCD_EN+0
0x02CA	0x7FBD    	CBR        R27, 2
0x02CC	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,152 :: 		
0x02D0	0xDECD    	RCALL      _Delay_5500us+0
;__Lib_Lcd.c,155 :: 		
0x02D2	0x003591B0  	LDS        R27, LCD_EN+0
0x02D6	0x60B2    	SBR        R27, 2
0x02D8	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,156 :: 		
0x02DC	0xDEBB    	RCALL      _Delay_1us+0
;__Lib_Lcd.c,157 :: 		
0x02DE	0x003591B0  	LDS        R27, LCD_EN+0
0x02E2	0x7FBD    	CBR        R27, 2
0x02E4	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,159 :: 		
0x02E8	0x003591B0  	LDS        R27, LCD_D4+0
0x02EC	0x60B4    	SBR        R27, 4
0x02EE	0x003593B0  	STS        LCD_D4+0, R27
;__Lib_Lcd.c,160 :: 		
0x02F2	0x003591B0  	LDS        R27, LCD_EN+0
0x02F6	0x60B2    	SBR        R27, 2
0x02F8	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,161 :: 		
0x02FC	0xDEAB    	RCALL      _Delay_1us+0
;__Lib_Lcd.c,162 :: 		
0x02FE	0x003591B0  	LDS        R27, LCD_EN+0
0x0302	0x7FBD    	CBR        R27, 2
0x0304	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,163 :: 		
0x0308	0xDEB1    	RCALL      _Delay_5500us+0
;__Lib_Lcd.c,166 :: 		
0x030A	0x003591B0  	LDS        R27, LCD_D4+0
0x030E	0x7FBB    	CBR        R27, 4
0x0310	0x003593B0  	STS        LCD_D4+0, R27
;__Lib_Lcd.c,167 :: 		
0x0314	0x003591B0  	LDS        R27, LCD_EN+0
0x0318	0x60B2    	SBR        R27, 2
0x031A	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,168 :: 		
0x031E	0xDE9A    	RCALL      _Delay_1us+0
;__Lib_Lcd.c,169 :: 		
0x0320	0x003591B0  	LDS        R27, LCD_EN+0
0x0324	0x7FBD    	CBR        R27, 2
0x0326	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,171 :: 		
0x032A	0x003591B0  	LDS        R27, LCD_D7+0
0x032E	0x62B0    	SBR        R27, 32
0x0330	0x003593B0  	STS        LCD_D7+0, R27
;__Lib_Lcd.c,172 :: 		
0x0334	0x003591B0  	LDS        R27, LCD_D6+0
0x0338	0x61B0    	SBR        R27, 16
0x033A	0x003593B0  	STS        LCD_D6+0, R27
;__Lib_Lcd.c,173 :: 		
0x033E	0x003591B0  	LDS        R27, LCD_D5+0
0x0342	0x60B8    	SBR        R27, 8
0x0344	0x003593B0  	STS        LCD_D5+0, R27
;__Lib_Lcd.c,174 :: 		
0x0348	0x003591B0  	LDS        R27, LCD_D4+0
0x034C	0x60B4    	SBR        R27, 4
0x034E	0x003593B0  	STS        LCD_D4+0, R27
;__Lib_Lcd.c,175 :: 		
0x0352	0x003591B0  	LDS        R27, LCD_EN+0
0x0356	0x60B2    	SBR        R27, 2
0x0358	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,176 :: 		
0x035C	0xDE7B    	RCALL      _Delay_1us+0
;__Lib_Lcd.c,177 :: 		
0x035E	0x003591B0  	LDS        R27, LCD_EN+0
0x0362	0x7FBD    	CBR        R27, 2
0x0364	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,179 :: 		
0x0368	0xDE81    	RCALL      _Delay_5500us+0
;__Lib_Lcd.c,181 :: 		
0x036A	0x006B91B0  	LDS        R27, __Lib_Lcd_cmd_status+0
0x036E	0x60B1    	SBR        R27, 1
0x0370	0x006B93B0  	STS        __Lib_Lcd_cmd_status+0, R27
;__Lib_Lcd.c,182 :: 		
L_end_Lcd_Init:
0x0374	0x9508    	RET
; end of _Lcd_Init
_Delay_5500us:
;__Lib_Delays.c,30 :: 		void Delay_5500us() {
;__Lib_Delays.c,31 :: 		Delay_us(5500);
0x006C	0xE713    	LDI        R17, 115
0x006E	0xE408    	LDI        R16, 72
L_Delay_5500us12:
0x0070	0x950A    	DEC        R16
0x0072	0xF7F1    	BRNE       L_Delay_5500us12
0x0074	0x951A    	DEC        R17
0x0076	0xF7E1    	BRNE       L_Delay_5500us12
0x0078	0x0000    	NOP
;__Lib_Delays.c,32 :: 		}
L_end_Delay_5500us:
0x007A	0x9508    	RET
; end of _Delay_5500us
_Delay_1us:
;__Lib_Delays.c,6 :: 		void Delay_1us() {
;__Lib_Delays.c,7 :: 		Delay_us(1);
0x0054	0xE005    	LDI        R16, 5
L_Delay_1us0:
0x0056	0x950A    	DEC        R16
0x0058	0xF7F1    	BRNE       L_Delay_1us0
0x005A	0x0000    	NOP
;__Lib_Delays.c,8 :: 		}
L_end_Delay_1us:
0x005C	0x9508    	RET
; end of _Delay_1us
_Lcd_Cmd:
;__Lib_Lcd.c,18 :: 		
;__Lib_Lcd.c,20 :: 		
0x0376	0xFA27    	BST        R2, 7
0x0378	0x003591B0  	LDS        R27, LCD_D7+0
0x037C	0xF9B5    	BLD        R27, 5
0x037E	0x003593B0  	STS        LCD_D7+0, R27
;__Lib_Lcd.c,21 :: 		
0x0382	0xFA26    	BST        R2, 6
0x0384	0x003591B0  	LDS        R27, LCD_D6+0
0x0388	0xF9B4    	BLD        R27, 4
0x038A	0x003593B0  	STS        LCD_D6+0, R27
;__Lib_Lcd.c,22 :: 		
0x038E	0xFA25    	BST        R2, 5
0x0390	0x003591B0  	LDS        R27, LCD_D5+0
0x0394	0xF9B3    	BLD        R27, 3
0x0396	0x003593B0  	STS        LCD_D5+0, R27
;__Lib_Lcd.c,23 :: 		
0x039A	0xFA24    	BST        R2, 4
0x039C	0x003591B0  	LDS        R27, LCD_D4+0
0x03A0	0xF9B2    	BLD        R27, 2
0x03A2	0x003593B0  	STS        LCD_D4+0, R27
;__Lib_Lcd.c,25 :: 		
0x03A6	0x006B91B0  	LDS        R27, __Lib_Lcd_cmd_status+0
0x03AA	0x00359000  	LDS        R0, LCD_RS+0
0x03AE	0x94E8    	CLT
0x03B0	0xFFB0    	SBRS       R27, 0
0x03B2	0x9468    	SET
0x03B4	0xF800    	BLD        R0, 0
0x03B6	0x00359200  	STS        LCD_RS+0, R0
;__Lib_Lcd.c,28 :: 		
0x03BA	0x003591B0  	LDS        R27, LCD_EN+0
0x03BE	0x60B2    	SBR        R27, 2
0x03C0	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,29 :: 		
0x03C4	0xDE47    	RCALL      _Delay_1us+0
;__Lib_Lcd.c,30 :: 		
0x03C6	0x003591B0  	LDS        R27, LCD_EN+0
0x03CA	0x7FBD    	CBR        R27, 2
0x03CC	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,33 :: 		
0x03D0	0xFA23    	BST        R2, 3
0x03D2	0x003591B0  	LDS        R27, LCD_D7+0
0x03D6	0xF9B5    	BLD        R27, 5
0x03D8	0x003593B0  	STS        LCD_D7+0, R27
;__Lib_Lcd.c,34 :: 		
0x03DC	0xFA22    	BST        R2, 2
0x03DE	0x003591B0  	LDS        R27, LCD_D6+0
0x03E2	0xF9B4    	BLD        R27, 4
0x03E4	0x003593B0  	STS        LCD_D6+0, R27
;__Lib_Lcd.c,35 :: 		
0x03E8	0xFA21    	BST        R2, 1
0x03EA	0x003591B0  	LDS        R27, LCD_D5+0
0x03EE	0xF9B3    	BLD        R27, 3
0x03F0	0x003593B0  	STS        LCD_D5+0, R27
;__Lib_Lcd.c,36 :: 		
0x03F4	0xFA20    	BST        R2, 0
0x03F6	0x003591B0  	LDS        R27, LCD_D4+0
0x03FA	0xF9B2    	BLD        R27, 2
0x03FC	0x003593B0  	STS        LCD_D4+0, R27
;__Lib_Lcd.c,38 :: 		
0x0400	0x006B91B0  	LDS        R27, __Lib_Lcd_cmd_status+0
0x0404	0x00359000  	LDS        R0, LCD_RS+0
0x0408	0x94E8    	CLT
0x040A	0xFFB0    	SBRS       R27, 0
0x040C	0x9468    	SET
0x040E	0xF800    	BLD        R0, 0
0x0410	0x00359200  	STS        LCD_RS+0, R0
;__Lib_Lcd.c,40 :: 		
0x0414	0x003591B0  	LDS        R27, LCD_EN+0
0x0418	0x60B2    	SBR        R27, 2
0x041A	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,41 :: 		
0x041E	0xDE1A    	RCALL      _Delay_1us+0
;__Lib_Lcd.c,42 :: 		
0x0420	0x003591B0  	LDS        R27, LCD_EN+0
0x0424	0x7FBD    	CBR        R27, 2
0x0426	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,44 :: 		
0x042A	0x006B91B0  	LDS        R27, __Lib_Lcd_cmd_status+0
0x042E	0xFFB0    	SBRS       R27, 0
0x0430	0xC002    	RJMP       L_Lcd_Cmd0
;__Lib_Lcd.c,45 :: 		
0x0432	0xDE1C    	RCALL      _Delay_5500us+0
0x0434	0xC001    	RJMP       L_Lcd_Cmd1
L_Lcd_Cmd0:
;__Lib_Lcd.c,47 :: 		
0x0436	0xDE13    	RCALL      _Delay_50us+0
L_Lcd_Cmd1:
;__Lib_Lcd.c,48 :: 		
L_end_Lcd_Cmd:
0x0438	0x9508    	RET
; end of _Lcd_Cmd
_Delay_50us:
;__Lib_Delays.c,18 :: 		void Delay_50us() {
;__Lib_Delays.c,19 :: 		Delay_us(50);
0x005E	0xE012    	LDI        R17, 2
0x0060	0xE009    	LDI        R16, 9
L_Delay_50us6:
0x0062	0x950A    	DEC        R16
0x0064	0xF7F1    	BRNE       L_Delay_50us6
0x0066	0x951A    	DEC        R17
0x0068	0xF7E1    	BRNE       L_Delay_50us6
;__Lib_Delays.c,20 :: 		}
L_end_Delay_50us:
0x006A	0x9508    	RET
; end of _Delay_50us
_Lcd_Chr:
;__Lib_Lcd.c,65 :: 		
;__Lib_Lcd.c,66 :: 		
0x00D0	0x922F    	PUSH       R2
0x00D2	0xC00F    	RJMP       L_Lcd_Chr4
;__Lib_Lcd.c,67 :: 		
L_Lcd_Chr6:
0x00D4	0xE8B0    	LDI        R27, 128
0x00D6	0x2E2B    	MOV        R2, R27
0x00D8	0xC019    	RJMP       L_Lcd_Chr5
;__Lib_Lcd.c,68 :: 		
L_Lcd_Chr7:
0x00DA	0xECB0    	LDI        R27, 192
0x00DC	0x2E2B    	MOV        R2, R27
0x00DE	0xC016    	RJMP       L_Lcd_Chr5
;__Lib_Lcd.c,69 :: 		
L_Lcd_Chr8:
0x00E0	0xE9B4    	LDI        R27, 148
0x00E2	0x2E2B    	MOV        R2, R27
